codigo_ocorrencia,classificacao,tipo,tipo_categoria,tipo_icao,latitude,longitude,cidade,ocorrencia_uf,ocorrencia_pais,aerodromo,data,status,relatorio_numero,divulgacao_relatorio_publicado,total_recomendacoes,aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_dia_extracao
201411145608685,Incidente,Estouro De Pneu,Problema Sistema,SCF-NP,-23.1833,-50.6515,Cornélio Procópio,PR,BRASIL,SSCP,2014-11-14 11:30:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201511275450620,Acidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,-14.53,-55.2656,Planalto Da Serra,MT,BRASIL,****,2015-11-27 16:00:00,Ativa,A-157/CENIPA/2015,NÃO,0,1,NÃO,2018-08-28
201311143398784,Acidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,-26.4744,-48.9921,Guaramirim,SC,BRASIL,****,2013-11-14 19:00:00,Finalizada,A-206/CENIPA/2013,SIM,0,1,NÃO,2018-08-28
200911231532770,Acidente,Pouso Em Local Não Previsto,Outros,OTHR,-16.3333,-56.2064,Poconé,MT,BRASIL,****,2009-11-23 13:40:00,Finalizada,A-064/CENIPA/2011,SIM,7,1,NÃO,2018-08-28
201212075869641,Acidente,Perda De Controle No Solo,Perda De Controle No Solo,LOC-G,-17.2156,-56.8633,Poconé,MT,BRASIL,****,2012-12-07 20:00:00,Finalizada,ENCERRADA NO RAI,NÃO,0,1,NÃO,2018-08-28
200902155605475,Acidente,Perda De Controle No Solo,Perda De Controle No Solo,LOC-G,-16.8572,-56.6211,Poconé,MT,BRASIL,****,2009-02-15 13:30:00,Finalizada,A-037/CENIPA/2009,SIM,7,1,SIM,2018-08-28
201806111709088,Acidente,Com Trem De Pouso,Problema Sistema,SCF-NP,-21.2167,-50.3058,Birigui,SP,BRASIL,SJWQ,2018-06-08 20:05:00,Ativa,A-101/CENIPA/2018,NÃO,0,1,SIM,2018-08-28
201007244263735,Acidente,Perda De Controle Em Voo,Perda De Controle Em Voo,LOC-I,-3.0953,-45.0281,Matinha,MA,BRASIL,****,2010-07-24 17:00:00,Finalizada,A-075/CENIPA/2011,SIM,1,1,NÃO,2018-08-28
201801161022356,Acidente,Colisão Com Obstáculo Durante A Decolagem E Pouso,Colisao Decolagem/Pouso,CTOL,-31.0225,-54.6217,Dom Pedrito,RS,BRASIL,****,2018-01-10 16:20:00,Ativa,A-005/CENIPA/2018,NÃO,0,1,NÃO,2018-08-28
201801161035549,Acidente,Com Trem De Pouso,Problema Sistema,SCF-NP,-31.0225,-54.6217,Dom Pedrito,RS,BRASIL,****,2018-01-10 16:20:00,Ativa,A-004/CENIPA/2018,NÃO,0,1,NÃO,2018-08-28
201101116465904,Acidente,Perda De Controle Em Voo,Perda De Controle Em Voo,LOC-I,31.1947,-54.9472,Dom Pedrito,RS,BRASIL,****,2011-01-11 19:30:00,Finalizada,A-072/CENIPA/2012,SIM,3,1,NÃO,2018-08-28
